Source,Target,Weight
103771,212125,52
489922,1218479,52
879661,278752,52
774734,97319,52
648594,22724,52
1246702,431779,52
911029,73594,52
1252205,1382627,52
892007,786903,52
1139781,273050,52
1642231,991998,52
1458102,64061,52
1328576,885457,52
192156,1373147,52
9424,111898,52
1325149,459319,52
1578844,1218969,51
1145038,1218969,51
107367,1694891,51
324622,946385,51
1009385,142532,51
1676648,1578844,51
258909,381950,51
773058,1595326,51
1072949,1267952,51
1683203,442964,51
50416,1672803,51
900045,759170,51
458048,152272,51
489922,36478,51
689922,1143211,51
846814,228271,50
495092,433714,50
57455,1342668,50
1218969,1319452,50
643109,992143,50
1145038,1319452,50
1219201,1218736,50
1661580,418403,50
1578844,1319452,50
377526,377607,50
704942,112089,50
1358325,582233,50
55420,560882,50
392285,1101333,50
359054,1696546,50
1310004,1347520,50
1452154,1535774,50
316655,778860,50
1676648,1218969,50
354570,1331643,50
32885,1434453,50
1145038,1578844,50
112869,1637050,50
519529,1557709,50
252034,1620670,49
1623756,510853,49
1002526,350794,49
572642,567248,49
696586,614706,49
86692,1081378,49
886801,1319777,49
867889,634547,49
804905,1534869,49
1616541,230452,49
840287,648594,49
1044765,972305,49
842157,489922,49
1612537,400290,49
926339,1026072,49
1312980,1334805,48
814160,1102894,48
1124070,719307,48
317688,1396214,48
92660,899260,48
355864,753903,48
363962,891173,48
1158058,509941,48
1066490,126813,48
1351303,274804,48
574806,1580881,48
1191701,922036,48
1700369,498596,48
437763,68658,48
1214090,94596,48
217557,224772,48
1072949,1537357,48
204319,1304140,48
422783,132306,48
521072,188442,47
834149,736778,47
852433,1536236,47
1208107,267162,47
477901,582329,47
1104553,1157974,47
1421808,1103021,47
621170,1653395,47
1653712,1053472,47
550609,1390786,47
1224622,1605390,47
59117,301312,47
702007,1139958,47
520,647710,47
1031910,480076,47
650569,805380,47
1397702,302373,47
1617173,8950,46
1154100,243981,46
1490962,1654687,46
1078252,1190550,46
253704,253510,46
437763,1274440,46
537839,163578,46
1516076,1224840,46
399535,1199998,46
1321023,1664230,46
50416,1352948,46
644000,148706,46
1591785,651975,46
1306015,1346193,46
1504673,1265468,46
989738,908700,46
306006,619997,46
448792,513037,46
285591,285957,46
1240325,1590832,46
1708672,1689921,46
218997,473628,46
1381260,484718,46
877139,92660,46
437975,36331,46
1540361,1371299,46
1535022,668327,46
1359396,50491,46
81272,876315,46
245424,191911,46
1299100,1485670,46
644979,1284496,46
1685843,513870,46
644000,25907,45
343862,1091416,45
74586,422402,45
896790,1372660,45
340469,1382576,45
816372,1427530,45
343861,151046,45
357686,47744,45
1312980,1368902,45
1194161,973142,45
586652,75401,45
1685843,1506342,45
1396615,1669189,45
829888,147936,45
761680,1676239,45
36478,1187832,45
1242953,889623,45
887748,1710541,45
1340189,73087,45
909222,1630228,45
1545692,1488277,45
643081,807310,45
390001,832313,45
1281224,1496206,45
334276,675160,45
329464,62099,45
303377,263234,44
1661580,759170,44
783838,117067,44
7348,653601,44
1513885,842243,44
1357249,989154,44
147936,1175360,44
518168,523615,44
1605508,1487792,44
668875,662407,44
523615,680470,44
787467,545229,44
1166246,491788,44
147641,1699386,44
534059,87698,44
1120305,308920,44
1154844,347231,44
1024389,1212152,44
27300,539454,44
87520,260008,44
263172,12626,44
850386,1630228,44
1556759,614916,44
898548,1104237,44
57455,1597851,44
262035,1581401,44
556092,1582343,44
1434453,1418604,44
210883,461417,44
852618,1699134,44
412436,886421,44
1510221,161787,44
562330,1352202,44
1665049,173763,43
868313,289664,43
1272607,1144612,43
898487,886948,43
1022181,657270,43
1689189,1103787,43
863129,863446,43
598481,377850,43
875351,289659,43
764635,516559,43
1605592,263766,43
1154353,1006967,43
1611608,1324121,43
1224622,1360449,43
627329,530820,43
1243851,80962,43
1545667,1297648,43
1708489,923505,43
1513181,429557,43
326481,764503,43
1333565,473849,43
782633,498585,43
912118,771444,43
320958,592764,43
1323032,149504,43
607274,1469797,43
73087,308080,43
1369484,436018,43
1150127,1510221,43
1290446,1487633,43
1158058,261543,43
512807,69714,43
1373147,1696546,43
1060391,1500746,43
444716,247722,43
75995,1390786,43
147477,101007,43
228834,60914,43
1513181,864872,42
60462,788798,42
392285,1617475,42
1306015,816259,42
866844,1373550,42
1591842,1016851,42
1308731,740003,42
292295,40021,42
50416,1026471,42
59490,929028,42
10489,462005,42
1513148,337625,42
887748,1603447,42
1308253,1512786,42
1687717,1642234,42
586652,1301765,42
1076054,1150226,42
9175,1599205,42
567819,1265372,42
1464783,1314879,42
50113,47802,42
815964,132721,42
1468138,317411,42
270239,1392075,42
481525,1552613,42
926030,1196253,42
566499,747567,42
1293545,143005,42
1443520,332416,42
736275,607501,42
430747,1157768,42
1144449,321571,42
73087,1043702,42
795174,643536,42
449428,903059,42
1702515,501471,42
30559,1616541,42
154366,626183,42
182749,705354,42
1357789,465906,42
1398756,1328317,41
727167,667443,41
1457788,1323506,41
686282,846814,41
391837,1127086,41
58279,545229,41
460699,504872,41
276566,317547,41
47180,1615837,41
944741,145700,41
879121,614916,41
456489,626832,41
688069,479035,41
1119079,1705857,41
1124479,1180305,41
624312,1536424,41
247357,371664,41
1004934,258909,41
41141,329634,41
294463,355604,41
556040,1094934,41
715868,891229,41
23978,987467,41
1538734,412436,41
876905,972632,41
147936,1392075,41
147641,966586,41
246864,984592,41
1699318,648919,41
567114,889623,41
808857,1135555,41
431305,1345302,41
1565078,993767,41
1661246,1696902,41
1518970,1621079,41
173570,561805,41
1150127,1490962,41
517988,835377,41
251447,212125,41
1490962,33187,41
87361,637016,41
1572880,1685798,41
204319,585323,41
1690953,15055,41
1043837,1166246,41
989867,1642224,41
289830,795145,40
1133360,1362691,40
1214823,826407,40
1195301,520709,40
1101333,1617475,40
230813,1702584,40
372901,1627577,40
635058,64061,40
1668519,1245833,40
323748,266880,40
1572921,754277,40
289389,111986,40
1701144,1369102,40
810750,277815,40
337625,403481,40
127926,1301809,40
1557894,294972,40
704867,220965,40
662407,1026477,40
394088,1565078,40
1112052,1372660,40
216085,1320022,40
1635659,854681,40
144898,444424,40
161339,369182,40
1631565,1402449,40
48645,717441,40
92762,456112,40
585805,1530671,40
476409,1269646,40
1143541,118610,40
807257,267162,40
25388,452518,40
159423,590062,40
289664,1398249,40
149979,1281737,40
584613,1134545,40
287467,1678655,40
1397496,117663,40
415452,126311,40
404914,673230,39
1029960,1030133,39
92660,603274,39
1698525,1631912,39
1546656,1582447,39
874242,806386,39
474750,1362562,39
1106158,1015247,39
352637,1176109,39
1191812,301312,39
762077,578958,39
1630308,113131,39
177614,1316505,39
1182888,1537477,39
258909,1427530,39
1585559,1347199,39
254890,1265280,39
1088139,875946,39
1281636,292274,39
1099499,1284858,39
1528484,352005,39
564968,345925,39
96223,391837,39
709007,828607,39
113914,662407,39
984613,898284,39
1603447,1710541,39
788454,581396,39
745879,1150127,39
451496,1242411,39
1642224,458459,39
1537056,1151681,39
1136251,1538792,39
1481026,614706,39
45712,1710541,39
1602755,1536687,39
484928,921675,39
1537442,816409,39
497529,1566782,39
1224097,1512094,39
515196,1636810,39
1112052,896790,39
606917,594639,39
106,1268047,39
1221843,1333857,39
1342288,1576625,39
1538546,72521,39
1532733,1434304,39
550310,1237493,39
1342668,768118,39
555493,1627819,39
1605066,489922,39
763816,1360289,39
1297467,426313,39
1702584,254890,39
1381496,1696902,39
1614694,484930,39
1628088,1364034,39
83701,1618301,38
931431,724511,38
1522988,1346660,38
291206,876315,38
371664,899486,38
117162,1642432,38
1217696,362135,38
760022,526237,38
349697,791492,38
316222,163285,38
1437136,117067,38
805052,306885,38
263234,760376,38
647833,923505,38
942997,157511,38
939323,1034659,38
1199347,1343762,38
1663980,927512,38
1659119,905736,38
1156563,377897,38
1684784,675159,38
298228,1283925,38
1132830,425411,38
1512997,488049,38
176847,1598987,38
112127,1617517,38
485289,1181972,38
356236,667013,38
292252,950999,38
1211040,112089,38
458793,1191651,38
906071,1284496,38
592035,1366547,38
236277,648805,38
966580,129172,38
1644117,1512712,38
471958,133729,38
218488,460075,38
564543,113131,38
1398756,152754,38
662407,709333,38
1649176,302373,38
1618546,532733,38
459319,1032,38
860236,1133354,38
644979,83227,38
500625,834818,38
10798,1031517,38
550487,711628,38
572072,828607,38
1336062,862886,38
863579,648253,38
1097416,1144612,38
1442842,1441424,38
1661647,1030177,38
1683479,1039980,37
534983,1227585,37
12399,537839,37
498791,516014,37
1474241,430414,37
1520642,1623756,37
900866,346485,37
620455,1122030,37
1375184,354057,37
1611608,208772,37
1632228,1603242,37
941552,1398279,37
1442133,1667294,37
12200,403338,37
421651,1335116,37
71773,1374778,37
1696448,1688904,37
864081,1697982,37
276364,1111726,37
711065,1271899,37
1224622,1089286,37
1578868,1329783,37
1604728,633589,37
320958,827791,37
112896,742243,37
523128,261343,37
520520,1486271,37
1047639,507427,37
779188,95304,37
1381496,1661246,37
318849,1094934,37
704942,346217,37
431468,1693619,37
1122030,1476173,37
981884,592284,37
276949,284852,37
1412118,106320,37
1330536,288664,37
907441,650220,37
1649176,1397702,37
1143132,1090761,37
950698,739444,37
1312980,1702678,37
431468,860814,37
1091600,212467,37
567248,1605390,37
555540,1591377,37
205379,21462,37
1104465,354101,37
1442217,1080787,37
360165,987795,37
1336870,63055,37
1335028,1372084,37
1422981,1460063,37
80371,1047372,37
149508,326481,36
859817,584129,36
743375,1139547,36
1393286,230170,36
669155,486048,36
1444194,542580,36
1207342,1611723,36
1620670,1696505,36
1119332,377897,36
1218753,776161,36
143480,126298,36
482007,732283,36
1417930,555540,36
1528758,1441424,36
509941,261543,36
1004432,326982,36
391291,1217548,36
469358,1669673,36
1089877,929627,36
527978,1473846,36
452518,592665,36
1024657,1328202,36
348131,987079,36
744587,537267,36
1516216,121478,36
1657771,488823,36
745677,1677870,36
483259,1697761,36
900019,379280,36
1663980,584129,36
475229,1510480,36
1027326,131805,36
1642457,975702,36
488823,518634,36
566838,968355,36
545337,1457628,36
539853,1346193,36
344604,1098137,36
1176109,555540,36
887748,45712,36
1328913,627960,36
284245,811136,36
1309657,246864,36
1271015,1285459,36
421056,908700,36
1235574,253510,36
560609,1522296,36
1344625,660491,36
357686,62165,36
1469483,635502,36
391578,746365,36
1301809,1128227,36
169365,809416,36
1711452,1216543,36
1421948,578328,36
431088,141721,36
1502963,912118,36
477631,109435,36
1006152,330621,36
237086,817290,35
1602312,502894,35
1457725,441106,35
1153686,1696505,35
318401,1216543,35
101651,133729,35
1541484,235170,35
863315,1007795,35
68666,252974,35
444454,331049,35
346485,942949,35
262244,1114084,35
666904,1511954,35
1090051,759170,35
1684162,1212840,35
1487421,544619,35
751357,913362,35
1710541,966580,35
1487908,815505,35
1503415,535008,35
110448,810069,35
285508,504872,35
104654,518168,35
621208,718428,35
844350,651063,35
761523,832371,35
317463,1537111,35
291717,744271,35
1224622,431503,35
260905,902784,35
1283925,707251,35
563405,1004827,35
375823,375856,35
476416,1648408,35
480767,1604769,35
1427530,719397,35
1193353,344413,35
1657599,294633,35
103771,321967,35
1078530,216437,35
634547,63031,35
42138,1613907,35
1530320,121478,35
1357459,21677,35
315955,815734,35
670604,1268047,35
882365,58088,35
1293,94473,35
1301809,429189,35
1090241,336281,35
598481,1099067,35
842157,1187832,35
1026477,1440807,35
79625,542580,35
459319,1028614,35
565000,1702584,35
537517,445389,35
1362018,1402449,35
1601966,614706,35
83227,1284496,35
1367253,1078638,35
1584628,92004,35
454422,1664649,35
63031,63055,35
195805,890288,35
1113905,1629181,35
632234,822173,35
1170723,554242,35
1643351,454971,35
1681950,288664,35
525317,1482810,35
1586652,327606,34
1324815,1139378,34
1343762,1635666,34
1622154,1108789,34
1484428,429557,34
783282,1566850,34
1668519,267111,34
446911,481705,34
1352460,839768,34
1468970,945,34
158711,1078963,34
344604,117756,34
1107760,419810,34
591158,73087,34
1695706,487324,34
148510,503589,34
586652,1141935,34
1279292,1546656,34
672170,721177,34
1467111,510463,34
524144,305053,34
369108,767158,34
1477766,531514,34
1493909,1328794,34
64415,501246,34
216436,307986,34
1484428,864872,34
741076,880620,34
567248,472317,34
1433798,1146443,34
546995,535869,34
996268,26149,34
574803,1412748,34
758167,571361,34
754461,227997,34
1120029,395804,34
1474743,309694,34
1397672,1620959,34
1536786,800435,34
934469,303427,34
111446,908700,34
46325,463356,34
1671305,1669673,34
1328913,291559,34
1398279,259794,34
771099,314369,34
22793,909222,34
1330785,1457991,34
1502963,771444,34
767935,831225,34
774734,98170,34
180320,169136,34
1688873,899486,34
1592887,745138,34
464117,429666,34
632841,717790,34
904722,1418964,34
771311,1653057,34
1385542,614706,34
259957,1041969,34
635058,1458102,34
908647,1590002,34
154261,549729,34
1666866,1193915,34
1291422,1158017,34
667269,305255,34
1503903,278598,34
1047909,62450,34
513057,746963,34
1264616,746922,34
1457173,1135369,34
285508,460699,34
756004,480076,34
1332538,560882,34
3164,705460,34
1167996,699932,34
1415726,1459281,34
648534,294206,34
1640375,380361,34
565140,932849,34
527978,1704172,34
887748,966580,34
1544528,651579,34
312054,1358302,34
260727,1516069,34
1059510,1250770,34
920669,1382576,34
142104,542523,34
156555,644568,34
701220,987079,34
320958,166672,34
900944,1371299,34
993643,672170,34
149508,764503,33
1122685,1615771,33
628954,834723,33
367501,258909,33
722896,1441730,33
1047787,1674086,33
189375,426313,33
381037,381028,33
104654,680470,33
482476,773716,33
22251,1261713,33
1381545,1602333,33
1376796,92004,33
1037563,923505,33
1063872,123787,33
201839,431435,33
421651,114700,33
932665,1708224,33
516857,1268083,33
850264,1683931,33
200611,26824,33
913899,1072078,33
709640,598012,33
500099,1493909,33
1711452,1501246,33
568162,1390025,33
306549,1665263,33
1552424,1469972,33
1547989,79860,33
709439,308019,33
1295715,1358573,33
856904,1657771,33
1480944,1194710,33
1566850,1430762,33
1191226,814051,33
1342288,1373780,33
1642231,842229,33
1166181,1097527,33
1047885,109465,33
668974,1455854,33
497062,1433509,33
1008179,1056899,33
887748,129172,33
876467,1484356,33
371589,252034,33
109435,911982,33
60278,1101108,33
482671,574116,33
1118738,555540,33
1523289,725529,33
252214,728610,33
348131,701220,33
1082968,234102,33
1333102,584681,33
107823,359660,33
843601,559218,33
1245308,1477758,33
73087,1134274,33
1702841,391727,33
1081301,727542,33
1259503,573146,33
70061,63055,33
364153,358111,33
817216,900019,33
1355943,229622,33
994729,1002632,33
744663,1020243,33
628203,689607,33
922013,1683479,33
407118,1710541,33
7348,1091142,33
1242245,879661,33
1051786,839352,33
1571335,733722,33
909750,1536687,33
32459,1003515,33
307381,273294,33
521820,483255,33
1683265,1151488,33
399388,1290446,33
667567,1103021,33
273050,1089001,33
539853,816259,33
366787,1080787,33
580741,1660203,33
1436774,190953,33
1604107,1016472,33
829289,968323,33
1224622,886925,33
13738,868884,33
1693590,1365102,33
701626,705000,33
1529362,163977,33
289611,1078252,33
632805,24342,33
87578,50073,33
481441,1652964,33
1701254,1654457,33
675988,741317,33
1630550,1503903,33
568091,1527983,33
1333857,1396214,33
510853,470307,33
362539,1471854,33
846259,1118843,33
791755,317817,33
1675869,754540,33
1010728,1224622,33
1220876,875969,33
33187,1654687,33
651072,1555446,33
1152037,1157974,33
1057366,1097885,32
1710541,129172,32
12410,744476,32
1152136,417811,32
898275,1242245,32
1118399,1015701,32
366787,1442217,32
545229,1688904,32
1375337,32213,32
1330898,839763,32
1155872,468476,32
1213961,1297252,32
446911,1618569,32
737375,251407,32
782237,541444,32
1654974,403658,32
1644656,852077,32
1122685,635126,32
299887,860236,32
261398,1191608,32
1693034,1046060,32
701299,218181,32
1281251,147936,32
323951,1328067,32
110448,394509,32
173599,293053,32
80796,1362691,32
1233818,270239,32
1668519,802530,32
188442,1555032,32
619390,1074809,32
925896,1192870,32
1191701,916881,32
1598327,932423,32
628203,634547,32
534467,51980,32
317547,430259,32
1505657,786654,32
317547,46325,32
759303,621394,32
1156202,1178362,32
323951,1652545,32
1074809,1151477,32
1284863,394747,32
67630,1154100,32
986237,1545513,32
535652,344413,32
431232,834526,32
458128,1647372,32
1161889,1599423,32
1014476,1536786,32
1393791,460172,32
443316,36478,32
485106,924391,32
1199347,1635666,32
1687579,8400,32
193758,1030133,32
1509077,1512928,32
318401,4472,32
929997,842687,32
1487100,594653,32
26110,960710,32
92628,355632,32
555493,650652,32
1445072,503127,32
113894,1371299,32
1622154,1602794,32
1398756,1275240,32
392151,1163977,32
189375,1281224,32
391709,36721,32
849417,1406016,32
1541493,565000,32
449428,634547,32
476816,917828,32
358464,1513344,32
107477,160978,32
27300,1528235,32
475147,539454,32
913466,532921,32
541799,1083325,32
1189435,409468,32
427284,1636761,32
1330785,656720,32
1253321,252610,32
582831,1438620,32
1351625,853683,32
989446,989448,32
867889,715428,32
1697893,1651028,32
101696,345925,32
802093,1226920,32
907793,1192580,32
1509664,270748,32
619390,1151477,32
817150,1118399,32
551506,42277,32
635126,1615771,32
862299,1283014,32
1176723,1326151,32
991514,1680900,32
1603668,546245,32
281746,30621,32
833156,315955,32
1679259,449339,32
483157,73667,32
1024945,619390,32
585998,555572,32
562352,1591881,32
840034,306445,32
649695,147936,32
106,670604,32
6242,970398,32
853371,325849,32
305009,1618625,32
1164802,550268,32
1162758,500339,32
1310004,326054,32
1024945,1151477,32
1024945,1074809,32
636754,110187,32
277967,1338353,32
1482540,1700728,32
1392480,1469489,32
36889,1632125,32
1664230,1106090,32
591673,915830,32
972450,504006,32
308562,372524,32
463870,1193169,32
584521,364165,32
632568,1284858,32
863129,128480,31
52883,1297227,31
537272,566163,31
850412,1506040,31
971324,1312574,31
1083232,15943,31
1701144,951725,31
533114,1299409,31
1337932,1191651,31
115649,371456,31
251902,866151,31
32885,1418604,31
1537905,26615,31
595918,623706,31
1672893,565897,31
1567300,152959,31
1612660,1082245,31
1267563,1370178,31
836222,549360,31
1292473,1458720,31
1598744,707251,31
118374,258425,31
1414751,193523,31
1492208,746470,31
1526497,254890,31
1253598,862451,31
390590,280339,31
550961,332506,31
1627415,224189,31
318044,891746,31
994673,717441,31
955407,1178362,31
1380231,1339670,31
842157,287467,31
1316242,1411487,31
269874,487378,31
1178141,307532,31
1603447,966580,31
805138,253510,31
500931,1198862,31
544584,614955,31
1073987,863074,31
385384,258909,31
377956,1468794,31
542468,1667211,31
692217,1089600,31
551506,1263182,31
810750,1109434,31
257526,842863,31
667744,1107073,31
754170,955757,31
421651,638567,31
1369566,1317300,31
73667,1441144,31
879288,1553202,31
614484,1586414,31
1471334,1659190,31
1503415,395123,31
810750,236516,31
407671,30559,31
971324,119993,31
143460,853218,31
820790,141762,31
157241,1698681,31
1249281,662407,31
802302,774734,31
1362766,1633876,31
1436774,324981,31
1208062,647938,31
1163025,1368391,31
355869,164331,31
1522096,573094,31
169136,175975,31
462469,1595741,31
179020,1630964,31
1552658,516491,31
127926,429189,31
27300,1304630,31
907114,1025175,31
568391,117262,31
812738,947937,31
1297480,1698648,31
317799,528000,31
557776,1325888,31
1406856,45545,31
1128340,795174,31
157241,489974,31
645721,86049,31
253655,722882,31
1330107,1390344,31
1105766,1603242,31
903152,898490,31
317180,569265,31
1649201,507914,31
675790,718565,31
263982,1470890,31
1196169,1081456,31
1328067,1652545,31
1624341,927557,31
485450,1097885,31
1392075,208772,31
1529618,246877,31
1706843,452555,31
1457173,744235,31
1438052,1699444,31
1708169,548924,31
4472,1227267,31
767534,369108,31
277829,468476,31
331543,179993,31
652288,1495637,31
264040,517435,31
1485670,118913,31
906070,1526083,31
27300,43439,31
189937,173651,31
234102,1584350,31
1297678,1580434,31
1616585,1707582,31
287971,254335,31
321967,1194710,31
1206952,799612,31
1015267,1423434,31
179092,773592,31
756430,1326867,31
754170,498602,31
1690803,911011,31
495802,568633,31
1029033,134942,31
24396,1698916,31
1011966,321405,31
315780,922930,31
1503481,949296,31
667925,1597489,31
792666,113894,31
243619,1248156,31
152272,426313,31
431305,680197,31
1309234,1433509,31
1602705,21492,30
781845,1460623,30
495092,1062122,30
1328202,479035,30
142768,546245,30
838546,235698,30
1611608,1323686,30
535952,163103,30
1413739,147936,30
1371299,536143,30
32425,1433590,30
1533767,118610,30
1516216,1530320,30
68101,783044,30
1321971,1370616,30
1260022,1458910,30
1174037,621394,30
278752,744663,30
780016,1260119,30
1309212,1183850,30
947586,1323368,30
1696254,299038,30
668881,1616340,30
281753,1297631,30
1642231,1595825,30
459319,797677,30
1125066,1333857,30
1607130,20484,30
1528235,834821,30
840222,74060,30
1621124,1623268,30
523683,1317207,30
535008,395123,30
1344625,1687662,30
1705752,222979,30
1441961,1130040,30
1124074,1630308,30
796623,1423646,30
169365,1483164,30
1205616,449806,30
688707,578328,30
1364812,1136619,30
896001,467573,30
330693,180287,30
1539370,1410852,30
426313,1622258,30
1603447,129172,30
499196,533008,30
584613,50951,30
1607520,871798,30
535665,586226,30
1656575,1707014,30
1205571,1149118,30
1088792,1456556,30
369108,155271,30
749224,81372,30
963147,632680,30
1512910,1585396,30
253704,805138,30
620455,1476173,30
484718,42575,30
798358,1545513,30
1228226,1234399,30
1022517,1034659,30
1105317,1097885,30
691956,754745,30
679848,1284590,30
1460623,566952,30
849460,544810,30
1305232,1416301,30
654664,237438,30
1667364,908700,30
1078182,433975,30
1280996,994975,30
459666,189375,30
1488191,500074,30
255722,1693590,30
560609,1351935,30
1212152,335067,30
189627,372096,30
291206,81272,30
80796,707962,30
381677,193523,30
68646,431210,30
808857,881881,30
1170723,1438620,30
1328266,392741,30
879661,667013,30
1642224,204337,30
1305773,1107760,30
1378598,1136678,30
540571,764503,30
1546621,1383782,30
550487,717014,30
369108,1359982,30
1539589,1392075,30
1333857,825626,30
1304140,585323,30
1070166,618482,30
268463,582233,30
1612857,875311,30
1059110,633927,30
1461104,1695963,30
1161342,252974,30
539853,1306015,30
254159,1285127,30
394898,578328,30
1665951,1291502,30
1581102,834031,30
497064,345847,30
472963,334061,30
1141935,1208603,30
563555,717448,30
70580,1103038,30
1194844,134942,30
1326103,247718,30
483292,1196809,30
1355685,85109,30
899664,584915,30
289579,922866,30
926646,577446,30
688052,528943,30
1517915,636938,30
549167,690441,30
767534,767158,30
1178069,468895,30
298925,605742,30
252034,1153686,30
866248,1154476,30
139496,591673,30
882019,693041,30
1626737,1132893,30
620980,782390,30
543613,1130040,30
401078,1441087,30
1401042,1455854,30
1214823,1177007,30
1355943,503458,30
770456,674541,30
682263,425411,30
1538249,460172,30
21075,905012,30
346485,422046,29
971278,346485,29
112767,1381783,29
272354,828113,29
1531188,921138,29
521072,879121,29
1708169,949872,29
1681744,992786,29
314196,480245,29
392776,1622626,29
132721,1160527,29
876173,393070,29
483157,1441144,29
705881,1277961,29
653656,982441,29
366362,829888,29
1371004,1491252,29
1139781,1077212,29
421775,124490,29
1708192,83630,29
22251,868986,29
404918,649253,29
1603668,1076659,29
1209262,524942,29
902360,812812,29
176914,308274,29
1693590,1433734,29
177716,265353,29
1248084,786653,29
810898,161224,29
955901,987641,29
1286947,178234,29
690565,468476,29
1365102,1433734,29
784420,1565078,29
1317551,397690,29
277815,236516,29
857596,2451,29
609032,679493,29
658710,166430,29
195254,876459,29
732777,1134255,29
1457273,1144004,29
590062,1524871,29
1354642,1323506,29
393391,393198,29
1611608,1516573,29
1218512,132721,29
1558518,740053,29
469401,1603668,29
181884,1702584,29
625057,1087202,29
1587123,909049,29
964367,1275754,29
1058831,1524871,29
628126,404127,29
68033,1100902,29
830239,48065,29
842243,309867,29
14332,635078,29
1097630,1455854,29
476828,251527,29
1686936,1382576,29
993651,1370393,29
1348934,1398279,29
1590886,913466,29
951806,1033666,29
437763,1227531,29
573357,210602,29
954873,460286,29
992935,1489314,29
587619,1636783,29
394540,532601,29
131953,1250587,29
150288,1077433,29
21860,964367,29
521072,1555032,29
817536,550066,29
27073,567348,29
1168279,498838,29
582800,1422488,29
1333303,1154024,29
616551,802334,29
1679342,756865,29
1357249,374846,29
73087,1329958,29
210871,1097885,29
587668,724602,29
